Date,Weekday,Time,Program,Sheet
2024-01-02,二,19:00:00,請君#17,20240101-0204
2024-01-02,二,20:00:00,請君#18,20240101-0204
2024-01-02,二,21:00:00,醫師好辣#283,20240101-0204
2024-01-02,二,22:00:00,慶餘年#29,20240101-0204
2024-01-02,二,23:00:00,慶餘年#30,20240101-0204
2024-01-03,三,00:00:00,神鵰俠侶#11,20240101-0204
2024-01-03,三,01:00:00,神鵰俠侶#12,20240101-0204
2024-01-03,三,02:00:00,熾道#21,20240101-0204
2024-01-03,三,03:00:00,熾道#22,20240101-0204
2024-01-03,三,04:00:00,一剪芳華#19,20240101-0204
2024-01-03,三,05:00:00,一剪芳華#20,20240101-0204
2024-01-03,三,06:00:00,老虎假面W#23,20240101-0204
2024-01-03,三,06:30:00,老虎假面W#24,20240101-0204
2024-01-03,三,07:00:00,慶餘年#29,20240101-0204
2024-01-03,三,08:00:00,慶餘年#30,20240101-0204
2024-01-03,三,09:00:00,神鵰俠侶#11,20240101-0204
2024-01-03,三,10:00:00,神鵰俠侶#12,20240101-0204
2024-01-03,三,11:00:00,慶餘年#31,20240101-0204
2024-01-03,三,12:00:00,慶餘年#32,20240101-0204
2024-01-03,三,13:00:00,請君#17,20240101-0204
2024-01-03,三,14:00:00,請君#18,20240101-0204
2024-01-03,三,15:00:00,神鵰俠侶#13,20240101-0204
2024-01-03,三,16:00:00,神鵰俠侶#14,20240101-0204
2024-01-03,三,17:00:00,老虎假面W#25,20240101-0204
2024-01-03,三,17:30:00,老虎假面W#26,20240101-0204
2024-01-03,三,18:00:00,蠟筆小新##18,20240101-0204
2024-01-03,三,18:30:00,蠟筆小新##19,20240101-0204
2024-01-03,三,19:00:00,請君#19,20240101-0204
2024-01-03,三,20:00:00,請君#20,20240101-0204
2024-01-03,三,21:00:00,醫師好辣#284,20240101-0204
2024-01-03,三,22:00:00,慶餘年#31,20240101-0204
2024-01-03,三,23:00:00,慶餘年#32,20240101-0204
2024-01-04,四,00:00:00,神鵰俠侶#13,20240101-0204
2024-01-04,四,01:00:00,神鵰俠侶#14,20240101-0204
2024-01-04,四,02:00:00,熾道#23,20240101-0204
2024-01-04,四,03:00:00,熾道#24,20240101-0204
2024-01-04,四,04:00:00,一剪芳華#21,20240101-0204
2024-01-04,四,05:00:00,一剪芳華#22,20240101-0204
2024-01-04,四,06:00:00,老虎假面W#25,20240101-0204
2024-01-04,四,06:30:00,老虎假面W#26,20240101-0204
2024-01-04,四,07:00:00,慶餘年#31,20240101-0204
2024-01-04,四,08:00:00,慶餘年#32,20240101-0204
2024-01-04,四,09:00:00,神鵰俠侶#13,20240101-0204
2024-01-04,四,10:00:00,神鵰俠侶#14,20240101-0204
2024-01-04,四,11:00:00,慶餘年#33,20240101-0204
2024-01-04,四,12:00:00,慶餘年#34,20240101-0204
2024-01-04,四,13:00:00,請君#19,20240101-0204
2024-01-04,四,14:00:00,請君#20,20240101-0204
2024-01-04,四,15:00:00,神鵰俠侶#15,20240101-0204
2024-01-04,四,16:00:00,神鵰俠侶#16,20240101-0204
2024-01-04,四,17:00:00,老虎假面W#27,20240101-0204
2024-01-04,四,17:30:00,老虎假面W#28,20240101-0204
2024-01-04,四,18:00:00,蠟筆小新##20,20240101-0204
2024-01-04,四,18:30:00,蠟筆小新##21,20240101-0204
2024-01-04,四,19:00:00,請君#21,20240101-0204
2024-01-04,四,20:00:00,請君#22,20240101-0204
2024-01-04,四,21:00:00,醫師好辣#248,20240101-0204
2024-01-04,四,22:00:00,慶餘年#33,20240101-0204
2024-01-04,四,23:00:00,慶餘年#34,20240101-0204
2024-01-05,五,00:00:00,神鵰俠侶#15,20240101-0204
2024-01-05,五,01:00:00,神鵰俠侶#16,20240101-0204
2024-01-05,五,02:00:00,熾道#25,20240101-0204
2024-01-05,五,03:00:00,熾道#26(完),20240101-0204
2024-01-05,五,04:00:00,一剪芳華#23,20240101-0204
2024-01-05,五,05:00:00,一剪芳華#24,20240101-0204
2024-01-05,五,06:00:00,老虎假面W#27,20240101-0204
2024-01-05,五,06:30:00,老虎假面W#28,20240101-0204
2024-01-05,五,07:00:00,慶餘年#33,20240101-0204
2024-01-05,五,08:00:00,慶餘年#34,20240101-0204
2024-01-05,五,09:00:00,神鵰俠侶#15,20240101-0204
2024-01-05,五,10:00:00,神鵰俠侶#16,20240101-0204
2024-01-05,五,11:00:00,慶餘年#35,20240101-0204
2024-01-05,五,12:00:00,慶餘年#36,20240101-0204
2024-01-05,五,13:00:00,請君#21,20240101-0204
2024-01-05,五,14:00:00,請君#22,20240101-0204
2024-01-05,五,15:00:00,神鵰俠侶#17,20240101-0204
2024-01-05,五,16:00:00,神鵰俠侶#18,20240101-0204
2024-01-05,五,17:00:00,老虎假面W#29,20240101-0204
2024-01-05,五,17:30:00,老虎假面W#30,20240101-0204
2024-01-05,五,18:00:00,蠟筆小新##22,20240101-0204
2024-01-05,五,18:30:00,蠟筆小新##23,20240101-0204
2024-01-05,五,19:00:00,請君#23,20240101-0204
2024-01-05,五,20:00:00,請君#24,20240101-0204
2024-01-05,五,21:00:00,醫師好辣#249,20240101-0204
2024-01-05,五,22:00:00,慶餘年#35,20240101-0204
2024-01-05,五,23:00:00,慶餘年#36,20240101-0204
2024-01-06,六,00:00:00,蠟筆小新#22,20240101-0204
2024-01-06,六,00:30:00,蠟筆小新#23,20240101-0204
2024-01-06,六,01:00:00,蠟筆小新#24,20240101-0204
2024-01-06,六,01:30:00,蠟筆小新#25,20240101-0204
2024-01-06,六,02:00:00,一生一世#6,20240101-0204
2024-01-06,六,03:00:00,一生一世#7,20240101-0204
2024-01-06,六,04:00:00,一生一世#8,20240101-0204
2024-01-06,六,05:00:00,一生一世#9,20240101-0204
2024-01-06,六,06:00:00,一生一世#10,20240101-0204
2024-01-06,六,07:00:00,蠟筆小新#22,20240101-0204
2024-01-06,六,07:30:00,蠟筆小新#23,20240101-0204
2024-01-06,六,08:00:00,蠟筆小新#24,20240101-0204
2024-01-06,六,08:30:00,蠟筆小新#25,20240101-0204
2024-01-06,六,09:00:00,軍師聯盟#31,20240101-0204
2024-01-06,六,10:00:00,軍師聯盟#32,20240101-0204
2024-01-06,六,11:00:00,軍師聯盟#33,20240101-0204
2024-01-06,六,12:00:00,軍師聯盟#34,20240101-0204
2024-01-06,六,13:00:00,軍師聯盟#35,20240101-0204
2024-01-06,六,14:00:00,蠟筆小新#22,20240101-0204
2024-01-06,六,14:30:00,蠟筆小新#23,20240101-0204
2024-01-06,六,15:00:00,蠟筆小新#24,20240101-0204
2024-01-06,六,15:30:00,蠟筆小新#25,20240101-0204
2024-01-06,六,16:00:00,蠟筆小新大電影-激戰!塗鴉王國和四位勇士,20240101-0204
2024-01-06,六,18:00:00,一生一世#6,20240101-0204
2024-01-06,六,19:00:00,一生一世#7,20240101-0204
2024-01-06,六,20:00:00,一生一世#8,20240101-0204
2024-01-06,六,21:00:00,一生一世#9,20240101-0204
2024-01-06,六,22:00:00,一生一世#10,20240101-0204
2024-01-06,六,23:00:00,聖鬥士星矢少女翔#1,20240101-0204
2024-01-06,六,23:30:00,聖鬥士星矢少女翔#2,20240101-0204
2024-01-07,日,00:00:00,蠟筆小新#26,20240101-0204
2024-01-07,日,00:30:00,蠟筆小新#27,20240101-0204
2024-01-07,日,01:00:00,蠟筆小新#28,20240101-0204
2024-01-07,日,01:30:00,蠟筆小新#29,20240101-0204
2024-01-07,日,02:00:00,一生一世#11,20240101-0204
2024-01-07,日,03:00:00,一生一世#12,20240101-0204
2024-01-07,日,04:00:00,一生一世#13,20240101-0204
2024-01-07,日,05:00:00,一生一世#14,20240101-0204
2024-01-07,日,06:00:00,一生一世#15,20240101-0204
2024-01-07,日,07:00:00,蠟筆小新#26,20240101-0204
2024-01-07,日,07:30:00,蠟筆小新#27,20240101-0204
2024-01-07,日,08:00:00,蠟筆小新#28,20240101-0204
2024-01-07,日,08:30:00,蠟筆小新#29,20240101-0204
2024-01-07,日,09:00:00,軍師聯盟#36,20240101-0204
2024-01-07,日,10:00:00,軍師聯盟#37,20240101-0204
2024-01-07,日,11:00:00,軍師聯盟#38,20240101-0204
2024-01-07,日,12:00:00,軍師聯盟#39,20240101-0204
2024-01-07,日,13:00:00,軍師聯盟#40,20240101-0204
2024-01-07,日,14:00:00,蠟筆小新#26,20240101-0204
2024-01-07,日,14:30:00,蠟筆小新#27,20240101-0204
2024-01-07,日,15:00:00,蠟筆小新#28,20240101-0204
2024-01-07,日,15:30:00,蠟筆小新#29,20240101-0204
2024-01-07,日,16:00:00,蠟筆小新大電影-謎案!天下春日部學院的怪奇事件,20240101-0204
2024-01-07,日,18:00:00,一生一世#11,20240101-0204
2024-01-07,日,19:00:00,一生一世#12,20240101-0204
2024-01-07,日,20:00:00,一生一世#13,20240101-0204
2024-01-07,日,21:00:00,一生一世#14,20240101-0204
2024-01-07,日,22:00:00,一生一世#15,20240101-0204
2024-01-07,日,23:00:00,聖鬥士星矢少女翔#3,20240101-0204
2024-01-07,日,23:30:00,聖鬥士星矢少女翔#4,20240101-0204
2024-01-08,一,00:00:00,神鵰俠侶#17,20240101-0204
2024-01-08,一,01:00:00,神鵰俠侶#18,20240101-0204
2024-01-08,一,02:00:00,主廚大聯盟#1,20240101-0204
2024-01-08,一,03:00:00,主廚大聯盟#2,20240101-0204
2024-01-08,一,04:00:00,一剪芳華#25,20240101-0204
2024-01-08,一,05:00:00,一剪芳華#26,20240101-0204
2024-01-08,一,06:00:00,老虎假面W#29,20240101-0204
2024-01-08,一,06:30:00,老虎假面W#30,20240101-0204
2024-01-08,一,07:00:00,慶餘年#35,20240101-0204
2024-01-08,一,08:00:00,慶餘年#36,20240101-0204
2024-01-08,一,09:00:00,神鵰俠侶#17,20240101-0204
2024-01-08,一,10:00:00,神鵰俠侶#18,20240101-0204
2024-01-08,一,11:00:00,慶餘年#37,20240101-0204
2024-01-08,一,12:00:00,慶餘年#38,20240101-0204
2024-01-08,一,13:00:00,請君#23,20240101-0204
2024-01-08,一,14:00:00,請君#24,20240101-0204
2024-01-08,一,15:00:00,神鵰俠侶#19,20240101-0204
2024-01-08,一,16:00:00,神鵰俠侶#20,20240101-0204
2024-01-08,一,17:00:00,老虎假面W#31,20240101-0204
2024-01-08,一,17:30:00,老虎假面W#32,20240101-0204
2024-01-08,一,18:00:00,蠟筆小新##24,20240101-0204
2024-01-08,一,18:30:00,蠟筆小新##25,20240101-0204
2024-01-08,一,19:00:00,請君#25,20240101-0204
2024-01-08,一,20:00:00,請君#26,20240101-0204
2024-01-08,一,21:00:00,醫師好辣#250,20240101-0204
2024-01-08,一,22:00:00,慶餘年#37,20240101-0204
2024-01-08,一,23:00:00,慶餘年#38,20240101-0204
2024-01-09,二,00:00:00,神鵰俠侶#19,20240101-0204
2024-01-09,二,01:00:00,神鵰俠侶#20,20240101-0204
2024-01-09,二,02:00:00,主廚大聯盟#3,20240101-0204
2024-01-09,二,03:00:00,主廚大聯盟#4,20240101-0204
2024-01-09,二,04:00:00,一剪芳華#27,20240101-0204
2024-01-09,二,05:00:00,一剪芳華#28,20240101-0204
2024-01-09,二,06:00:00,老虎假面W#31,20240101-0204
2024-01-09,二,06:30:00,老虎假面W#32,20240101-0204
2024-01-09,二,07:00:00,慶餘年#37,20240101-0204
2024-01-09,二,08:00:00,慶餘年#38,20240101-0204
2024-01-09,二,09:00:00,神鵰俠侶#19,20240101-0204
2024-01-09,二,10:00:00,神鵰俠侶#20,20240101-0204
2024-01-09,二,11:00:00,慶餘年#39,20240101-0204
2024-01-09,二,12:00:00,慶餘年#40,20240101-0204
2024-01-09,二,13:00:00,請君#25,20240101-0204
2024-01-09,二,14:00:00,請君#26,20240101-0204
2024-01-09,二,15:00:00,神鵰俠侶#21,20240101-0204
2024-01-09,二,16:00:00,神鵰俠侶#22,20240101-0204
2024-01-09,二,17:00:00,老虎假面W#33,20240101-0204
2024-01-09,二,17:30:00,老虎假面W#34,20240101-0204
2024-01-09,二,18:00:00,蠟筆小新##26,20240101-0204
2024-01-09,二,18:30:00,蠟筆小新##27,20240101-0204
2024-01-09,二,19:00:00,請君#27,20240101-0204
2024-01-09,二,20:00:00,請君#28,20240101-0204
2024-01-09,二,21:00:00,醫師好辣#285,20240101-0204
2024-01-09,二,22:00:00,慶餘年#39,20240101-0204
2024-01-09,二,23:00:00,慶餘年#40,20240101-0204
2024-01-10,三,00:00:00,神鵰俠侶#21,20240101-0204
2024-01-10,三,01:00:00,神鵰俠侶#22,20240101-0204
2024-01-10,三,02:00:00,主廚大聯盟#5,20240101-0204
2024-01-10,三,03:00:00,主廚大聯盟#6,20240101-0204
2024-01-10,三,04:00:00,一剪芳華#29,20240101-0204
2024-01-10,三,05:00:00,一剪芳華#30,20240101-0204
2024-01-10,三,06:00:00,老虎假面W#33,20240101-0204
2024-01-10,三,06:30:00,老虎假面W#34,20240101-0204
2024-01-10,三,07:00:00,慶餘年#39,20240101-0204
2024-01-10,三,08:00:00,慶餘年#40,20240101-0204
2024-01-10,三,09:00:00,神鵰俠侶#21,20240101-0204
2024-01-10,三,10:00:00,神鵰俠侶#22,20240101-0204
2024-01-10,三,11:00:00,慶餘年#41,20240101-0204
2024-01-10,三,12:00:00,慶餘年#42,20240101-0204
2024-01-10,三,13:00:00,請君#27,20240101-0204
2024-01-10,三,14:00:00,請君#28,20240101-0204
2024-01-10,三,15:00:00,神鵰俠侶#23,20240101-0204
2024-01-10,三,16:00:00,神鵰俠侶#24,20240101-0204
2024-01-10,三,17:00:00,老虎假面W#35,20240101-0204
2024-01-10,三,17:30:00,老虎假面W#36,20240101-0204
2024-01-10,三,18:00:00,蠟筆小新##28,20240101-0204
2024-01-10,三,18:30:00,蠟筆小新##29,20240101-0204
2024-01-10,三,19:00:00,請君#29,20240101-0204
2024-01-10,三,20:00:00,請君#30,20240101-0204
2024-01-10,三,21:00:00,醫師好辣#286,20240101-0204
2024-01-10,三,22:00:00,慶餘年#41,20240101-0204
2024-01-10,三,23:00:00,慶餘年#42,20240101-0204
2024-01-11,四,00:00:00,神鵰俠侶#23,20240101-0204
2024-01-11,四,01:00:00,神鵰俠侶#24,20240101-0204
2024-01-11,四,02:00:00,主廚大聯盟#7,20240101-0204
2024-01-11,四,03:00:00,主廚大聯盟#8,20240101-0204
2024-01-11,四,04:00:00,一剪芳華#31,20240101-0204
2024-01-11,四,05:00:00,一剪芳華#32,20240101-0204
2024-01-11,四,06:00:00,老虎假面W#35,20240101-0204
2024-01-11,四,06:30:00,老虎假面W#36,20240101-0204
2024-01-11,四,07:00:00,慶餘年#41,20240101-0204
2024-01-11,四,08:00:00,慶餘年#42,20240101-0204
2024-01-11,四,09:00:00,神鵰俠侶#23,20240101-0204
2024-01-11,四,10:00:00,神鵰俠侶#24,20240101-0204
2024-01-11,四,11:00:00,慶餘年#43,20240101-0204
2024-01-11,四,12:00:00,慶餘年#44,20240101-0204
2024-01-11,四,13:00:00,請君#29,20240101-0204
2024-01-11,四,14:00:00,請君#30,20240101-0204
2024-01-11,四,15:00:00,神鵰俠侶#25,20240101-0204
2024-01-11,四,16:00:00,神鵰俠侶#26,20240101-0204
2024-01-11,四,17:00:00,老虎假面W#37,20240101-0204
2024-01-11,四,17:30:00,老虎假面W#38(完),20240101-0204
2024-01-11,四,18:00:00,蠟筆小新##30,20240101-0204
2024-01-11,四,18:30:00,蠟筆小新##31,20240101-0204
2024-01-11,四,19:00:00,請君#31,20240101-0204
2024-01-11,四,20:00:00,請君#32,20240101-0204
2024-01-11,四,21:00:00,醫師好辣#251,20240101-0204
2024-01-11,四,22:00:00,慶餘年#43,20240101-0204
2024-01-11,四,23:00:00,慶餘年#44,20240101-0204
2024-01-12,五,00:00:00,神鵰俠侶#25,20240101-0204
2024-01-12,五,01:00:00,神鵰俠侶#26,20240101-0204
2024-01-12,五,02:00:00,主廚大聯盟#9,20240101-0204
2024-01-12,五,03:00:00,主廚大聯盟#10,20240101-0204
2024-01-12,五,04:00:00,一剪芳華#33,20240101-0204
2024-01-12,五,05:00:00,一剪芳華#34,20240101-0204
2024-01-12,五,06:00:00,老虎假面W#37,20240101-0204
2024-01-12,五,06:30:00,老虎假面W#38(完),20240101-0204
2024-01-12,五,07:00:00,慶餘年#43,20240101-0204
2024-01-12,五,08:00:00,慶餘年#44,20240101-0204
2024-01-12,五,09:00:00,神鵰俠侶#25,20240101-0204
2024-01-12,五,10:00:00,神鵰俠侶#26,20240101-0204
2024-01-12,五,11:00:00,慶餘年#45,20240101-0204
2024-01-12,五,12:00:00,慶餘年#46(完),20240101-0204
2024-01-12,五,13:00:00,請君#31,20240101-0204
2024-01-12,五,14:00:00,請君#32,20240101-0204
2024-01-12,五,15:00:00,神鵰俠侶#27,20240101-0204
2024-01-12,五,16:00:00,神鵰俠侶#28,20240101-0204
2024-01-12,五,17:00:00,蠟筆小新##32,20240101-0204
2024-01-12,五,17:30:00,蠟筆小新##33,20240101-0204
2024-01-12,五,18:00:00,蠟筆小新##404,20240101-0204
2024-01-12,五,18:30:00,蠟筆小新##405,20240101-0204
2024-01-12,五,19:00:00,請君#33,20240101-0204
2024-01-12,五,20:00:00,請君#34,20240101-0204
2024-01-12,五,21:00:00,醫師好辣#252,20240101-0204
2024-01-12,五,22:00:00,慶餘年#45,20240101-0204
2024-01-12,五,23:00:00,慶餘年#46(完),20240101-0204
2024-01-13,六,00:00:00,蠟筆小新#30,20240101-0204
2024-01-13,六,00:30:00,蠟筆小新#31,20240101-0204
2024-01-13,六,01:00:00,蠟筆小新#32,20240101-0204
2024-01-13,六,01:30:00,蠟筆小新#33,20240101-0204
2024-01-13,六,02:00:00,一生一世#16,20240101-0204
2024-01-13,六,03:00:00,一生一世#17,20240101-0204
2024-01-13,六,04:00:00,一生一世#18,20240101-0204
2024-01-13,六,05:00:00,一生一世#19,20240101-0204
2024-01-13,六,06:00:00,一生一世#20,20240101-0204
2024-01-13,六,07:00:00,蠟筆小新#30,20240101-0204
2024-01-13,六,07:30:00,蠟筆小新#31,20240101-0204
2024-01-13,六,08:00:00,蠟筆小新#32,20240101-0204
2024-01-13,六,08:30:00,蠟筆小新#33,20240101-0204
2024-01-13,六,09:00:00,軍師聯盟#41,20240101-0204
2024-01-13,六,10:00:00,軍師聯盟#42(完),20240101-0204
2024-01-13,六,11:00:00,軍師聯盟2虎嘯龍吟#1,20240101-0204
2024-01-13,六,12:00:00,軍師聯盟2虎嘯龍吟#2,20240101-0204
2024-01-13,六,13:00:00,軍師聯盟2虎嘯龍吟#3,20240101-0204
2024-01-13,六,14:00:00,蠟筆小新#30,20240101-0204
2024-01-13,六,14:30:00,蠟筆小新#31,20240101-0204
2024-01-13,六,15:00:00,蠟筆小新#32,20240101-0204
2024-01-13,六,15:30:00,蠟筆小新#33,20240101-0204
2024-01-13,六,16:00:00,蠟筆小新大電影-幽靈忍者珍風傳,20240101-0204
2024-01-13,六,18:00:00,一生一世#16,20240101-0204
2024-01-13,六,19:00:00,一生一世#17,20240101-0204
2024-01-13,六,20:00:00,一生一世#18,20240101-0204
2024-01-13,六,21:00:00,一生一世#19,20240101-0204
2024-01-13,六,22:00:00,一生一世#20,20240101-0204
2024-01-13,六,23:00:00,聖鬥士星矢少女翔#5,20240101-0204
2024-01-13,六,23:30:00,聖鬥士星矢少女翔#6,20240101-0204
2024-01-14,日,00:00:00,蠟筆小新#231,20240101-0204
2024-01-14,日,00:30:00,蠟筆小新#232,20240101-0204
2024-01-14,日,01:00:00,蠟筆小新#233,20240101-0204
2024-01-14,日,01:30:00,蠟筆小新#234,20240101-0204
2024-01-14,日,02:00:00,一生一世#21,20240101-0204
2024-01-14,日,03:00:00,一生一世#22,20240101-0204
2024-01-14,日,04:00:00,一生一世#23,20240101-0204
2024-01-14,日,05:00:00,一生一世#24,20240101-0204
2024-01-14,日,06:00:00,一生一世#25,20240101-0204
2024-01-14,日,07:00:00,蠟筆小新#231,20240101-0204
2024-01-14,日,07:30:00,蠟筆小新#232,20240101-0204
2024-01-14,日,08:00:00,蠟筆小新#233,20240101-0204
2024-01-14,日,08:30:00,蠟筆小新#234,20240101-0204
2024-01-14,日,09:00:00,軍師聯盟2虎嘯龍吟#4,20240101-0204
2024-01-14,日,10:00:00,軍師聯盟2虎嘯龍吟#5,20240101-0204
2024-01-14,日,11:00:00,軍師聯盟2虎嘯龍吟#6,20240101-0204
2024-01-14,日,12:00:00,軍師聯盟2虎嘯龍吟#7,20240101-0204
2024-01-14,日,13:00:00,軍師聯盟2虎嘯龍吟#8,20240101-0204
2024-01-14,日,14:00:00,蠟筆小新#231,20240101-0204
2024-01-14,日,14:30:00,蠟筆小新#232,20240101-0204
2024-01-14,日,15:00:00,蠟筆小新#233,20240101-0204
2024-01-14,日,15:30:00,蠟筆小新#234,20240101-0204
2024-01-14,日,16:00:00,蠟筆小新大電影-猛烈！大人帝國的反擊,20240101-0204
2024-01-14,日,18:00:00,一生一世#21,20240101-0204
2024-01-14,日,19:00:00,一生一世#22,20240101-0204
2024-01-14,日,20:00:00,一生一世#23,20240101-0204
2024-01-14,日,21:00:00,一生一世#24,20240101-0204
2024-01-14,日,22:00:00,一生一世#25,20240101-0204
2024-01-14,日,23:00:00,聖鬥士星矢少女翔#7,20240101-0204
2024-01-14,日,23:30:00,聖鬥士星矢少女翔#8,20240101-0204
2024-01-15,一,00:00:00,神鵰俠侶#27,20240101-0204
2024-01-15,一,01:00:00,神鵰俠侶#28,20240101-0204
2024-01-15,一,02:00:00,主廚大聯盟#11,20240101-0204
2024-01-15,一,03:00:00,主廚大聯盟#12,20240101-0204
2024-01-15,一,04:00:00,一剪芳華#35,20240101-0204
2024-01-15,一,05:00:00,一剪芳華#36,20240101-0204
2024-01-15,一,06:00:00,蠟筆小新##404,20240101-0204
2024-01-15,一,06:30:00,蠟筆小新##405,20240101-0204
2024-01-15,一,07:00:00,神鵰俠侶#27,20240101-0204
2024-01-15,一,08:00:00,神鵰俠侶#28,20240101-0204
2024-01-15,一,09:00:00,慶餘年#43,20240101-0204
2024-01-15,一,10:00:00,慶餘年#44,20240101-0204
2024-01-15,一,11:00:00,雪中悍刀行#1,20240101-0204
2024-01-15,一,12:00:00,雪中悍刀行#2,20240101-0204
2024-01-15,一,13:00:00,請君#33,20240101-0204
2024-01-15,一,14:00:00,請君#34,20240101-0204
2024-01-15,一,15:00:00,神鵰俠侶#29,20240101-0204
2024-01-15,一,16:00:00,神鵰俠侶#30,20240101-0204
2024-01-15,一,17:00:00,蠟筆小新##406,20240101-0204
2024-01-15,一,17:30:00,蠟筆小新##407,20240101-0204
2024-01-15,一,18:00:00,蠟筆小新##408,20240101-0204
2024-01-15,一,18:30:00,蠟筆小新##409,20240101-0204
2024-01-15,一,19:00:00,請君#35,20240101-0204
2024-01-15,一,20:00:00,請君#36(完),20240101-0204
2024-01-15,一,21:00:00,醫師好辣#253,20240101-0204
2024-01-15,一,22:00:00,請君#35,20240101-0204
2024-01-15,一,23:00:00,請君#36(完),20240101-0204
2024-01-16,二,00:00:00,神鵰俠侶#29,20240101-0204
2024-01-16,二,01:00:00,神鵰俠侶#30,20240101-0204
2024-01-16,二,02:00:00,主廚大聯盟#13,20240101-0204
2024-01-16,二,03:00:00,主廚大聯盟#14,20240101-0204
2024-01-16,二,04:00:00,一剪芳華#37,20240101-0204
2024-01-16,二,05:00:00,一剪芳華#38,20240101-0204
2024-01-16,二,06:00:00,蠟筆小新##408,20240101-0204
2024-01-16,二,06:30:00,蠟筆小新##409,20240101-0204
2024-01-16,二,07:00:00,神鵰俠侶#29,20240101-0204
2024-01-16,二,08:00:00,神鵰俠侶#30,20240101-0204
2024-01-16,二,09:00:00,慶餘年#45,20240101-0204
2024-01-16,二,10:00:00,慶餘年#46(完),20240101-0204
2024-01-16,二,11:00:00,雪中悍刀行#3,20240101-0204
2024-01-16,二,12:00:00,雪中悍刀行#4,20240101-0204
2024-01-16,二,13:00:00,請君#35,20240101-0204
2024-01-16,二,14:00:00,請君#36(完),20240101-0204
2024-01-16,二,15:00:00,神鵰俠侶#31,20240101-0204
2024-01-16,二,16:00:00,神鵰俠侶#32,20240101-0204
2024-01-16,二,17:00:00,蠟筆小新##410,20240101-0204
2024-01-16,二,17:30:00,蠟筆小新##411,20240101-0204
2024-01-16,二,18:00:00,蠟筆小新##412,20240101-0204
2024-01-16,二,18:30:00,蠟筆小新##413,20240101-0204
2024-01-16,二,19:00:00,浮圖緣#1,20240101-0204
2024-01-16,二,20:00:00,浮圖緣#2,20240101-0204
2024-01-16,二,21:00:00,醫師好辣#287,20240101-0204
2024-01-16,二,22:00:00,浮圖緣#1,20240101-0204
2024-01-16,二,23:00:00,浮圖緣#2,20240101-0204
2024-01-17,三,00:00:00,神鵰俠侶#31,20240101-0204
